"","Embryo","RNAiSimple","StageSimple","TimeMin","NumParticleFrameNormAreaPAratio"
"175","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",7,0.158962437892997
"176","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",7.5,0.171052925822629
"177","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",8,0.184529823008654
"178","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",8.5,0.204934563052881
"179","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",9,0.228853162848969
"180","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",9.5,0.239366515695189
"181","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",10,0.244666774257011
"182","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",10.5,0.20123295353961
"183","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",11,0.218731471238707
"184","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",11.5,0.242885408062673
"185","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",12,0.245270889749003
"186","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",12.5,0.257887990352259
"187","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",13,0.259817990796186
"188","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",13.5,0.257887990352259
"189","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",14,0.282844892644413
"190","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",14.5,0.314973318583738
"191","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",15,0.329401920897028
